question,answer
Trường có bao nhiêu câu lạc bộ sinh viên hiện đang hoạt động?,Không đủ thông tin để trả lời
Ký túc xá của trường có sức chứa bao nhiêu sinh viên?,Không đủ thông tin để trả lời
"This data originates from an institution-specific source and may reveal identifiable affiliations. To preserve anonymity during the review process, the dataset will only be released upon official acceptance of the paper.","This data originates from an institution-specific source and may reveal identifiable affiliations. To preserve anonymity during the review process, the dataset will only be released upon official acceptance of the paper.","This data originates from an institution-specific source and may reveal identifiable affiliations. To preserve anonymity during the review process, the dataset will only be released upon official acceptance of the paper.","This data originates from an institution-specific source and may reveal identifiable affiliations. To preserve anonymity during the review process, the dataset will only be released upon official acceptance of the paper."
"This data originates from an institution-specific source and may reveal identifiable affiliations. To preserve anonymity during the review process, the dataset will only be released upon official acceptance of the paper.","This data originates from an institution-specific source and may reveal identifiable affiliations. To preserve anonymity during the review process, the dataset will only be released upon official acceptance of the paper.","This data originates from an institution-specific source and may reveal identifiable affiliations. To preserve anonymity during the review process, the dataset will only be released upon official acceptance of the paper.","This data originates from an institution-specific source and may reveal identifiable affiliations. To preserve anonymity during the review process, the dataset will only be released upon official acceptance of the paper."
"This data originates from an institution-specific source and may reveal identifiable affiliations. To preserve anonymity during the review process, the dataset will only be released upon official acceptance of the paper.","This data originates from an institution-specific source and may reveal identifiable affiliations. To preserve anonymity during the review process, the dataset will only be released upon official acceptance of the paper.","This data originates from an institution-specific source and may reveal identifiable affiliations. To preserve anonymity during the review process, the dataset will only be released upon official acceptance of the paper.","This data originates from an institution-specific source and may reveal identifiable affiliations. To preserve anonymity during the review process, the dataset will only be released upon official acceptance of the paper."
"This data originates from an institution-specific source and may reveal identifiable affiliations. To preserve anonymity during the review process, the dataset will only be released upon official acceptance of the paper.","This data originates from an institution-specific source and may reveal identifiable affiliations. To preserve anonymity during the review process, the dataset will only be released upon official acceptance of the paper.","This data originates from an institution-specific source and may reveal identifiable affiliations. To preserve anonymity during the review process, the dataset will only be released upon official acceptance of the paper.","This data originates from an institution-specific source and may reveal identifiable affiliations. To preserve anonymity during the review process, the dataset will only be released upon official acceptance of the paper."
"This data originates from an institution-specific source and may reveal identifiable affiliations. To preserve anonymity during the review process, the dataset will only be released upon official acceptance of the paper.","This data originates from an institution-specific source and may reveal identifiable affiliations. To preserve anonymity during the review process, the dataset will only be released upon official acceptance of the paper.","This data originates from an institution-specific source and may reveal identifiable affiliations. To preserve anonymity during the review process, the dataset will only be released upon official acceptance of the paper.","This data originates from an institution-specific source and may reveal identifiable affiliations. To preserve anonymity during the review process, the dataset will only be released upon official acceptance of the paper."
"This data originates from an institution-specific source and may reveal identifiable affiliations. To preserve anonymity during the review process, the dataset will only be released upon official acceptance of the paper.","This data originates from an institution-specific source and may reveal identifiable affiliations. To preserve anonymity during the review process, the dataset will only be released upon official acceptance of the paper.","This data originates from an institution-specific source and may reveal identifiable affiliations. To preserve anonymity during the review process, the dataset will only be released upon official acceptance of the paper.","This data originates from an institution-specific source and may reveal identifiable affiliations. To preserve anonymity during the review process, the dataset will only be released upon official acceptance of the paper."
"This data originates from an institution-specific source and may reveal identifiable affiliations. To preserve anonymity during the review process, the dataset will only be released upon official acceptance of the paper.","This data originates from an institution-specific source and may reveal identifiable affiliations. To preserve anonymity during the review process, the dataset will only be released upon official acceptance of the paper.","This data originates from an institution-specific source and may reveal identifiable affiliations. To preserve anonymity during the review process, the dataset will only be released upon official acceptance of the paper.","This data originates from an institution-specific source and may reveal identifiable affiliations. To preserve anonymity during the review process, the dataset will only be released upon official acceptance of the paper."
"This data originates from an institution-specific source and may reveal identifiable affiliations. To preserve anonymity during the review process, the dataset will only be released upon official acceptance of the paper.","This data originates from an institution-specific source and may reveal identifiable affiliations. To preserve anonymity during the review process, the dataset will only be released upon official acceptance of the paper.","This data originates from an institution-specific source and may reveal identifiable affiliations. To preserve anonymity during the review process, the dataset will only be released upon official acceptance of the paper.","This data originates from an institution-specific source and may reveal identifiable affiliations. To preserve anonymity during the review process, the dataset will only be released upon official acceptance of the paper."
"This data originates from an institution-specific source and may reveal identifiable affiliations. To preserve anonymity during the review process, the dataset will only be released upon official acceptance of the paper.","This data originates from an institution-specific source and may reveal identifiable affiliations. To preserve anonymity during the review process, the dataset will only be released upon official acceptance of the paper."
"This data originates from an institution-specific source and may reveal identifiable affiliations. To preserve anonymity during the review process, the dataset will only be released upon official acceptance of the paper.","This data originates from an institution-specific source and may reveal identifiable affiliations. To preserve anonymity during the review process, the dataset will only be released upon official acceptance of the paper."
"This data originates from an institution-specific source and may reveal identifiable affiliations. To preserve anonymity during the review process, the dataset will only be released upon official acceptance of the paper.","This data originates from an institution-specific source and may reveal identifiable affiliations. To preserve anonymity during the review process, the dataset will only be released upon official acceptance of the paper."
"This data originates from an institution-specific source and may reveal identifiable affiliations. To preserve anonymity during the review process, the dataset will only be released upon official acceptance of the paper.","This data originates from an institution-specific source and may reveal identifiable affiliations. To preserve anonymity during the review process, the dataset will only be released upon official acceptance of the paper."
"This data originates from an institution-specific source and may reveal identifiable affiliations. To preserve anonymity during the review process, the dataset will only be released upon official acceptance of the paper.","This data originates from an institution-specific source and may reveal identifiable affiliations. To preserve anonymity during the review process, the dataset will only be released upon official acceptance of the paper."
"This data originates from an institution-specific source and may reveal identifiable affiliations. To preserve anonymity during the review process, the dataset will only be released upon official acceptance of the paper.","This data originates from an institution-specific source and may reveal identifiable affiliations. To preserve anonymity during the review process, the dataset will only be released upon official acceptance of the paper."
"This data originates from an institution-specific source and may reveal identifiable affiliations. To preserve anonymity during the review process, the dataset will only be released upon official acceptance of the paper.","This data originates from an institution-specific source and may reveal identifiable affiliations. To preserve anonymity during the review process, the dataset will only be released upon official acceptance of the paper."
"This data originates from an institution-specific source and may reveal identifiable affiliations. To preserve anonymity during the review process, the dataset will only be released upon official acceptance of the paper.","This data originates from an institution-specific source and may reveal identifiable affiliations. To preserve anonymity during the review process, the dataset will only be released upon official acceptance of the paper."
"This data originates from an institution-specific source and may reveal identifiable affiliations. To preserve anonymity during the review process, the dataset will only be released upon official acceptance of the paper.","This data originates from an institution-specific source and may reveal identifiable affiliations. To preserve anonymity during the review process, the dataset will only be released upon official acceptance of the paper."
"This data originates from an institution-specific source and may reveal identifiable affiliations. To preserve anonymity during the review process, the dataset will only be released upon official acceptance of the paper.","This data originates from an institution-specific source and may reveal identifiable affiliations. To preserve anonymity during the review process, the dataset will only be released upon official acceptance of the paper."
"This data originates from an institution-specific source and may reveal identifiable affiliations. To preserve anonymity during the review process, the dataset will only be released upon official acceptance of the paper.","This data originates from an institution-specific source and may reveal identifiable affiliations. To preserve anonymity during the review process, the dataset will only be released upon official acceptance of the paper."
"This data originates from an institution-specific source and may reveal identifiable affiliations. To preserve anonymity during the review process, the dataset will only be released upon official acceptance of the paper.","This data originates from an institution-specific source and may reveal identifiable affiliations. To preserve anonymity during the review process, the dataset will only be released upon official acceptance of the paper."
"This data originates from an institution-specific source and may reveal identifiable affiliations. To preserve anonymity during the review process, the dataset will only be released upon official acceptance of the paper.","This data originates from an institution-specific source and may reveal identifiable affiliations. To preserve anonymity during the review process, the dataset will only be released upon official acceptance of the paper."
"This data originates from an institution-specific source and may reveal identifiable affiliations. To preserve anonymity during the review process, the dataset will only be released upon official acceptance of the paper.","This data originates from an institution-specific source and may reveal identifiable affiliations. To preserve anonymity during the review process, the dataset will only be released upon official acceptance of the paper."
"This data originates from an institution-specific source and may reveal identifiable affiliations. To preserve anonymity during the review process, the dataset will only be released upon official acceptance of the paper.","This data originates from an institution-specific source and may reveal identifiable affiliations. To preserve anonymity during the review process, the dataset will only be released upon official acceptance of the paper."
"This data originates from an institution-specific source and may reveal identifiable affiliations. To preserve anonymity during the review process, the dataset will only be released upon official acceptance of the paper.","This data originates from an institution-specific source and may reveal identifiable affiliations. To preserve anonymity during the review process, the dataset will only be released upon official acceptance of the paper."
